"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Jrue Holiday","31.22","PG/SG","MIL","PHI","27.6","8,200","3.81","-9.78"
"Evan Mobley","31.21","PF/C","CLE","CHA","32.3","7,100","4.40","-4.29"
"Buddy Hield","30.77","SG/SF","IND","HOU","31.1","7,000","4.40","-4.23"
"RJ Barrett","30.73","SF/SG","NYK","GSW","34.2","6,400","4.80","-1.27"
"Bones Hyland","30.68","PG","DEN","DAL","27.4","5,800","5.29","1.68"
"Nikola Jokić","30.61","PF","MIA","WAS","35.7","4,000","7.65","10.61"
"Bruce Brown","30.59","SG","DEN","DAL","31.4","5,100","6.00","5.09"
"Christian Wood","30.43","PF/C","DAL","DEN","26.2","6,700","4.54","-3.07"
"Kelly Oubre Jr.","30.41","SF/SG","CHA","CLE","32.1","6,800","4.47","-3.59"
"Bol Bol","30.40","C","ORL","CHI","28.7","5,300","5.74","3.90"
"Jordan Clarkson","29.84","PG/SG","UTA","PHX","30.4","6,000","4.97","-0.16"
"Mike Conley","29.77","PG","UTA","PHX","30.2","5,600","5.32","1.77"
"Bojan Bogdanović","29.65","SF/PF","DET","LAL","31.9","5,800","5.11","0.65"
"Spencer Dinwiddie","29.64","PG/SG","DAL","DEN","32.2","6,800","4.36","-4.36"
"Michael Porter Jr.","29.58","PF/SF","DEN","DAL","30.3","6,200","4.77","-1.42"
"Draymond Green","29.54","PF/C","GSW","NYK","28.8","5,700","5.18","1.04"
"Brook Lopez","29.16","C","MIL","PHI","31.0","6,500","4.49","-3.34"
"Jonas Valančiūnas","29.16","C","NOP","BOS","23.2","6,200","4.70","-1.84"
"Dillon Brooks","28.95","SG/SF","MEM","OKC","30.0","5,000","5.79","3.95"
"Lonnie Walker IV","28.71","SG/SF","LAL","DET","33.3","5,700","5.04","0.21"
"Klay Thompson","28.53","SG/SF","GSW","NYK","29.0","5,500","5.19","1.03"
"Al Horford","28.40","C/PF","BOS","NOP","31.8","5,500","5.16","0.90"
"De'Anthony Melton","28.18","PG/SG","PHI","MIL","28.7","5,400","5.22","1.18"
"Jalen Suggs","27.93","PG/SG","ORL","CHI","29.6","6,200","4.51","-3.07"
"Saddiq Bey","27.66","SF","DET","LAL","31.7","5,600","4.94","-0.34"
"Bobby Portis","27.64","PF/C","MIL","PHI","26.1","5,800","4.77","-1.36"
"Jalen Smith","27.54","PF/C","IND","HOU","24.6","5,500","5.01","0.04"
"Malcolm Brogdon","27.36","PG/SG","BOS","NOP","26.6","5,400","5.07","0.36"
"Mason Plumlee","27.33","C","CHA","CLE","26.8","5,700","4.79","-1.17"
"Kelly Olynyk","26.76","C/PF","UTA","PHX","27.4","5,300","5.05","0.26"
"P.J. Washington","26.65","PF/C","CHA","CLE","31.9","5,900","4.52","-2.85"
"Jarred Vanderbilt","26.60","PF","UTA","PHX","25.8","5,200","5.12","0.60"
"Aleksej Pokusevski","26.37","PF/C","OKC","MEM","26.3","6,100","4.32","-4.13"
"Isaiah Jackson","26.16","PF","IND","HOU","20.3","5,100","5.13","0.66"
"DeAndre Jordan","26.15","C","DEN","DAL","25.3","4,000","6.54","6.15"
"Kenyon Martin Jr.","25.92","N/A","HOU","IND","29.3","4,400","5.89","3.92"
"Jabari Smith Jr.","25.91","N/A","HOU","IND","31.2","5,500","4.71","-1.59"
"Isaiah Hartenstein","25.87","PF/C","NYK","GSW","24.0","5,200","4.97","-0.13"
"Killian Hayes","25.83","PG","DET","LAL","29.9","5,300","4.87","-0.67"
"Steven Adams","25.70","C","MEM","OKC","23.3","5,300","4.85","-0.80"
"Gordon Hayward","25.69","SF/SG","CHA","CLE","27.7","6,300","4.08","-5.81"
"Kentavious Caldwell-Pope","25.59","SG/SF","DEN","DAL","32.7","5,300","4.83","-0.91"
"Luguentz Dort","25.48","SF/SG","OKC","MEM","29.2","5,700","4.47","-3.02"
"Monte Morris","25.47","PG","WAS","MIA","29.6","5,300","4.81","-1.03"
"Derrick White","25.14","PG/SG","BOS","NOP","29.4","5,700","4.41","-3.36"
"Jordan Poole","24.97","PG/SG","GSW","NYK","25.1","6,800","3.67","-9.03"
"Herbert Jones","24.89","SG/SF","NOP","BOS","31.5","4,600","5.41","1.89"
"Kevin Love","24.75","PF/C","CLE","CHA","21.4","4,900","5.05","0.25"
"Bennedict Mathurin","24.60","SG","IND","HOU","26.1","5,800","4.24","-4.40"
"Andre Drummond","24.44","C","CHI","ORL","17.8","4,800","5.09","0.44"
"Marvin Bagley III","24.43","PF/C","DET","LAL","25.7","5,700","4.29","-4.07"
"John Konchar","24.32","SF/SG","MEM","OKC","30.0","4,500","5.40","1.82"
"Kevon Looney","24.28","C/PF","GSW","NYK","24.0","4,700","5.17","0.78"
"Immanuel Quickley","23.98","SG/PG","NYK","GSW","24.1","5,200","4.61","-2.02"
"Chuma Okeke","23.72","PF","ORL","CHI","28.3","4,900","4.84","-0.78"
