"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Duane Washington Jr.",,"PG/SG","PHX","UTA",,"3,300",,
"Matisse Thybulle",,"SG/SF","PHI","MIL",,"3,300",,
"George Hill",,"PG","MIL","PHI",,"3,300",,
"Isaiah Livers",,"PF","DET","LAL",,"3,300",,
"Coby White",,"PG/SG","CHI","ORL",,"3,200",,
"Caleb Houstan",,"SF/PF","ORL","CHI",,"3,200",,
"Daniel Gafford",,"C","WAS","MIA",,"3,200",,
"Jock Landale",,"C","PHX","UTA",,"3,200",,
"Donte DiVincenzo",,"PG/SG","GSW","NYK",,"3,200",,
"Derrick Rose",,"PG","NYK","GSW",,"3,200",,
"Danuel House Jr.",,"SF/PF","PHI","MIL",,"3,200",,
"Wenyen Gabriel",,"PF/C","LAL","DET",,"3,200",,
"Christian Braun",,"SG/SF","DEN","DAL",,"3,100",,
"Mike Muscala",,"C","OKC","MEM",,"3,100",,
"Dyson Daniels",,"SG/SF","NOP","BOS",,"3,100",,
"JaMychal Green",,"C","GSW","NYK",,"3,100",,
"Oshae Brissett",,"PF","IND","HOU",,"3,100",,
"Shake Milton",,"PG/SG","PHI","MIL",,"3,100",,
"Kevon Harris",,"SG","ORL","CHI",,"3,000",,
"James Bouknight",,"SG","CHA","CLE",,"3,000",,
"Vlatko Čančar",,"SF","DEN","DAL",,"3,000",,
"Davon Reed",,"SF","DEN","DAL",,"3,000",,
"Jake LaRavia",,"PF","MEM","OKC",,"3,000",,
"Paul Reed",,"C","PHI","MIL",,"3,000",,
"Thomas Bryant",,"C","LAL","DET",,"3,000",,
